name,title,default_crs,bbox_raw
datafinder.stats.govt.nz:layer-104611,2018 Census Household total New Zealand by Statistical Area 1,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104612,2018 Census Individual (part 1) total New Zealand by Statistical Area 1,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104616,2018 Census Individual (part 2) total New Zealand by Statistical Area 1,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104621,2018 Census Individual (part 3a) total New Zealand by Statistical Area 1,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104622,2018 Census Individual (part 3b) total New Zealand by Statistical Area 1,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104628,2018 Census Dwelling total New Zealand by Statistical Area 1,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104934,Regional Tourism Organisation Areas 2020 Clipped,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104935,Regional Tourism Organisation Areas 2020,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104942,Meshblock with Regional Tourism Organisation Areas 2020,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-105007,Estimated Resident Population at 30 June 2018 by Regional Council,urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
